model,split,roc_auc,pr_auc,brier_score,positive_rate
xgboost,val,0.7455884566182557,0.5358368226992789,0.17988954935853785,0.29815573770491804
xgboost,test,0.7232582570194978,0.5804928844879691,0.20770822890827603,0.379273119827276
logistic_regression,val,0.7629380189128853,0.5715575905374689,0.17263074802993342,0.29815573770491804
logistic_regression,test,0.7335035613123229,0.5819201816628558,0.2016498959383299,0.379273119827276
lightgbm,val,0.7457853613264103,0.5358584371577993,0.18049712518364866,0.29815573770491804
lightgbm,test,0.7204562329840773,0.5748593841741236,0.20891024914174122,0.379273119827276
