model,run_id,chosen_budget,val_value_at_risk,test_value_at_risk,val_var_covered_frac,test_var_covered_frac,val_precision_at_k,test_precision_at_k,val_recall_at_k,test_recall_at_k,val_lift_at_k,test_lift_at_k,val_roc_auc,test_roc_auc,val_pr_auc,test_pr_auc,val_brier_score,test_brier_score,model_registry_name
logistic_regression,2d132a75feeb405d80ea67db32430df2,0.1,97853.45,165919.06,0.2877629199451785,0.2658285351374059,0.28205128205128205,0.4064748201438849,0.09450171821305842,0.10721062618595825,0.945986430522513,1.0717206121251006,0.7629380189128853,0.7335035613123229,0.5715575905374689,0.5819201816628558,0.17263074802993342,0.2016498959383299,churn_logistic_regression_v1
xgboost,49736ea301744ee4b929c75b70a43908,0.1,76760.36,164787.8,0.22573333213742675,0.2640160779751031,0.29743589743589743,0.39928057553956836,0.09965635738831616,0.10531309297912714,0.9975856903691955,1.052752105715807,0.7455884566182557,0.7232582570194978,0.5358368226992789,0.5804928844879691,0.17988954935853785,0.20770822890827603,churn_xgboost_v1
lightgbm,65f1909d08a049698329b34188f9dd17,0.1,72032.55,164581.86,0.21183000618881673,0.2636861295742009,0.2923076923076923,0.4028776978417266,0.0979381443298969,0.1062618595825427,0.9803859370869681,1.0622363589204538,0.7457853613264103,0.7204562329840773,0.5358584371577993,0.5748593841741236,0.18049712518364866,0.20891024914174122,churn_lightgbm_v1
