index,model,budget_k,value_at_risk_mean,value_at_risk_std,var_covered_frac_mean,var_covered_frac_std,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std,lift_at_k_mean,lift_at_k_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_score_mean,brier_score_std
0,lightgbm,0.05,101017.45444444445,58323.89274995801,0.17111147601226545,0.03296899557709617,0.37519553464444666,0.08859433674122004,0.048105342899874844,0.005451233982718945,0.9619749218564702,0.10942469945388805,0.754486750474636,0.024097114788960684,0.623002277227697,0.08201713625166152,0.20189580932794787,0.028926559583201332
1,lightgbm,0.1,157488.4601111111,91054.57554429509,0.26767387791842023,0.04058061232609218,0.39000077148775625,0.0916846307815753,0.09991476431067832,0.00984065950672975,0.999122265615394,0.09863616171491812,0.754486750474636,0.024097114788960684,0.623002277227697,0.08201713625166152,0.20189580932794787,0.028926559583201332
2,lightgbm,0.2,246117.11233333332,143191.8523965411,0.4177174505215603,0.053567432415411925,0.40872703712808883,0.0995956967168078,0.20896025347175465,0.01813041264109697,1.0446996019624655,0.09132977936964738,0.754486750474636,0.024097114788960684,0.623002277227697,0.08201713625166152,0.20189580932794787,0.028926559583201332
3,logistic_regression,0.05,98425.07122222224,51041.49186342988,0.17336294776816186,0.035106822133511045,0.3979329381273873,0.10165803357167663,0.05089662688550592,0.007109209228507632,1.0177626521631413,0.14240795712651308,0.7578761526076682,0.02648788720700001,0.6230121505683767,0.08684458102710463,0.2001097024805813,0.02796914728422811
4,logistic_regression,0.1,155696.69233333334,87411.42198822816,0.26677371925070403,0.03211215261509637,0.3799921885284008,0.10651627912955564,0.09677562985781894,0.012037843062815919,0.967707218616909,0.1203274643422313,0.7578761526076682,0.02648788720700001,0.6230121505683767,0.08684458102710463,0.2001097024805813,0.02796914728422811
5,logistic_regression,0.2,242451.3378888889,141404.33293228986,0.4106724945033455,0.040246492653551416,0.37123324807630126,0.10327627690010799,0.18896032420353914,0.021425668829278037,0.9447260094945524,0.10773895392649499,0.7578761526076682,0.02648788720700001,0.6230121505683767,0.08684458102710463,0.2001097024805813,0.02796914728422811
6,xgboost,0.05,104792.24111111111,61907.62739324381,0.17659235269104115,0.03435730634504942,0.3754442538255832,0.0944023695515662,0.04805711297977135,0.0064332519450175435,0.9609517336313621,0.1285340983896077,0.7565703688170075,0.025469670665368094,0.6247982916626514,0.08404396097499076,0.20120189862666493,0.029130315004843546
7,xgboost,0.1,159531.80555555556,95716.97938976268,0.26843799466747814,0.040083740675677215,0.39056179257281187,0.09645151863903137,0.0998322365125802,0.009255713083561457,0.9983083627589413,0.09287237800581148,0.7565703688170075,0.025469670665368094,0.6247982916626514,0.08404396097499076,0.20120189862666493,0.029130315004843546
8,xgboost,0.2,246996.6312222222,145466.8559960903,0.4169982327538348,0.038117008938332766,0.3982701890341966,0.0994276709732471,0.20329999621761236,0.015385566121841963,1.0163967502475824,0.07760226783573819,0.7565703688170075,0.025469670665368094,0.6247982916626514,0.08404396097499076,0.20120189862666493,0.029130315004843546
